node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,67.141064,105.926042,170.555204,228.818180,313.042060,393.438562,434.343573,529.760777,593.852738,693.576750,0.000000,86.770724,122.006228,238.922963,314.766551,373.462597,448.220493,524.985857,594.129068,650.668537,68.912046,105.638133,160.053896,239.555832,308.755078,387.978895,454.099925,560.654369,625.280787,693.087538,124.767225,147.392310,197.580763,264.756967,341.656477,398.921587,502.077367,578.279515,621.841194,692.963132,197.151372,233.644331,306.348804,335.260446,374.857417,456.505322,539.698479,582.069124,636.484641,713.904076,304.739100,336.068307,351.734208,367.168316,436.880436,478.551011,550.814966,601.999492,671.326151,737.294686,362.849425,360.161996,402.885459,458.914564,518.195984,549.892632,633.775752,696.130151,710.348097,779.911596,454.143610,479.905264,510.343635,509.907443,576.816841,588.050396,674.112520,718.764757,796.498782,837.344069,502.460352,529.976013,568.438899,612.942190,632.001579,642.913146,723.546538,771.713766,842.586308,875.416222,595.690478,596.817518,636.077356,650.194135,711.838525,741.731867,785.197193,816.625234,882.841481,951.904175
11,105.206494,66.368847,95.175677,151.026584,228.767311,308.389022,348.907965,443.468699,507.667451,607.541288,86.770724,0.000000,37.640551,152.185101,228.004086,286.811558,361.469410,438.267677,507.411057,563.897893,123.653691,58.253270,82.354472,163.599480,225.171589,302.424566,369.386864,475.225509,539.604803,606.732450,135.477160,135.146995,144.934338,196.553382,265.502366,322.081871,419.601090,495.568325,538.720837,608.445180,205.761635,213.323774,263.695684,274.252589,307.996398,382.706452,462.983996,502.653929,556.131377,631.747432,314.726254,318.567915,323.079602,322.099686,376.827883,415.008738,481.449210,528.273385,595.346279,659.025344,372.608767,347.732331,371.802851,420.071947,466.498172,493.503591,569.129222,626.675722,637.282355,704.308955,452.770771,466.987188,482.610980,471.644634,531.346839,534.865043,614.260798,655.322784,726.936084,765.096509,507.276357,515.545310,545.061051,578.803945,589.873540,595.069567,667.947423,712.034149,778.043463,809.029963,598.449508,583.066582,617.045009,621.692914,672.931510,698.973942,733.174538,759.446921,820.668531,887.905597
12,126.278683,63.463804,59.960657,113.903698,191.613311,271.632269,312.406139,407.839006,471.881454,571.574027,122.006228,37.640551,0.000000,118.328632,194.713646,252.075375,328.038469,403.725517,474.103589,529.879744,161.010124,80.879768,72.925359,148.508338,199.254811,272.652504,340.726533,445.144379,508.994845,574.650470,166.295896,159.551969,149.687006,187.076379,247.290365,302.456421,393.616828,469.052022,511.625167,579.493206,232.865433,230.193538,268.361472,267.684085,296.653043,365.102880,442.394873,479.473247,531.885798,605.519187,339.741763,333.630686,333.220199,324.092209,369.134854,404.611995,466.495316,509.804245,574.825079,636.410348,396.766429,364.316471,379.981270,423.831847,462.891848,486.935232,556.919348,610.954440,618.903009,683.790337,472.268601,481.918916,491.041321,475.151147,530.642710,529.875891,604.870037,643.510773,710.820174,746.978836,528.554362,529.450435,554.940024,583.499767,590.530158,592.682062,660.853980,702.350775,765.130582,794.845024,618.446797,596.787016,628.355992,628.781517,674.777663,698.754021,727.860949,751.095475,809.135150,875.078026
13,241.295084,167.692769,98.249013,80.703491,89.375777,161.587017,200.213129,292.031147,356.385686,456.467924,238.922963,152.185101,118.328632,0.000000,76.404751,134.731500,209.728583,286.084091,355.791974,411.826475,266.129762,163.553777,103.218398,102.203790,97.866201,157.744605,226.840843,328.680016,391.865665,456.506944,246.728254,223.505636,164.736992,145.983601,165.268512,211.492849,284.032197,357.712357,399.037985,464.012358,294.670746,261.115190,256.610439,220.553983,231.207483,276.708589,343.995376,374.579184,424.288122,493.909480,386.589763,347.989758,331.902066,297.861268,309.465218,335.028404,381.947922,415.311981,474.659815,531.284690,437.703112,381.445929,368.997819,396.329289,410.951616,425.347493,477.659351,521.719071,523.162539,582.698263,493.875645,487.736229,475.311476,444.499633,485.079783,471.589025,532.347971,563.836779,619.523374,650.730913,554.510167,530.178958,541.692319,552.985651,547.423138,540.418432,593.714499,627.518838,681.203709,707.504298,637.589865,594.963799,617.816669,604.655280,633.434154,650.777458,664.690163,679.240905,728.309965,790.479796
14,317.122709,242.395033,169.288672,132.468935,67.875194,102.744781,134.882408,219.454733,283.796453,383.913135,314.766551,228.004086,194.713646,76.404751,0.000000,61.947039,133.482609,210.962957,279.502736,335.953536,338.023807,233.080728,169.386302,131.812003,68.529221,87.280380,155.810651,253.843340,316.302888,380.154021,310.715873,282.768878,210.768909,163.407579,140.404323,169.461877,216.930934,287.755494,327.585551,389.745616,348.959555,303.044349,274.969656,218.401478,212.320400,232.145680,286.883946,310.631398,357.229517,422.864468,429.909778,375.239058,350.727700,302.886075,288.485010,304.278279,336.379022,360.149705,413.632212,465.533336,476.214488,408.653568,379.584265,394.505615,390.805187,397.254466,434.059723,469.235012,465.311433,519.920251,519.770485,504.242752,478.400839,438.518738,467.154498,444.598852,492.998782,518.383609,564.282990,591.349176,581.515687,542.325580,544.532164,543.923246,529.658688,516.190433,557.418820,584.925888,631.113152,654.595965,658.912408,603.997431,620.759834,598.830966,615.211903,627.582596,630.315049,638.267756,680.156492,739.055443
15,370.834216,294.523112,218.937005,172.052868,81.197865,53.758839,75.568702,157.877498,222.278143,322.432369,373.462597,286.811558,252.075375,134.731500,61.947039,0.000000,79.364116,151.654212,223.721441,278.082754,399.331911,294.744623,231.238790,190.004786,113.973147,75.088760,128.161874,209.922078,268.593126,327.192226,372.608495,344.276706,270.441097,216.190376,173.160852,183.732812,193.011339,255.333966,291.108233,345.607736,409.407992,360.509460,323.798732,258.841130,242.367529,238.257019,275.105338,288.137878,328.496942,385.827938,486.865412,426.273598,398.167849,344.087509,312.903385,320.004085,336.543483,348.484322,393.042615,437.218978,531.123588,459.278843,422.186981,429.363613,412.669499,412.433517,433.802915,458.567686,448.122054,495.392514,568.776652,548.491415,515.037786,469.800932,489.231143,459.708197,495.970086,514.779059,549.093715,570.716383,630.664065,583.749431,580.237727,571.540307,550.928832,532.436642,562.417068,583.443600,621.222297,641.316972,704.677437,643.040915,655.830860,628.166633,635.138769,643.365029,636.295652,637.859538,671.967002,726.848535
16,448.946169,373.057124,297.858578,251.333920,158.999530,98.564080,78.937028,98.982730,159.576362,257.621303,448.220493,361.469410,328.038469,209.728583,133.482609,79.364116,0.000000,80.638318,146.065232,202.746656,469.111050,363.414201,299.157023,244.173920,160.156651,80.659796,80.123866,133.274370,189.665492,248.176237,435.767073,404.465909,325.068093,259.266391,193.593744,179.382156,138.053849,186.906916,218.278364,267.632019,464.165031,407.488663,355.092242,280.525830,251.076521,216.317436,228.097832,228.452520,261.447831,311.454107,530.675493,458.636789,424.803264,362.476202,309.044649,304.301497,300.523289,298.259623,332.289280,368.822816,569.676214,490.240242,440.246689,435.418376,401.103169,392.127069,393.972276,406.618790,389.692397,429.561354,595.065143,566.715645,521.747595,469.616194,475.856774,437.948309,458.499773,469.469335,491.246517,507.592949,656.502788,596.800246,584.416124,564.126004,535.226325,510.521523,526.154999,539.467336,567.877353,584.434152,723.660882,651.509273,658.019792,622.322546,616.356394,619.125711,600.173642,594.419497,619.890847,670.372848
17,521.561932,444.830504,368.731547,317.830131,223.224052,147.008623,108.624974,34.246146,80.776941,177.131545,524.985857,438.267677,403.725517,286.084091,210.962957,151.654212,80.638318,0.000000,77.835331,126.943367,548.452929,442.968112,378.787041,324.753436,240.622735,159.136577,131.877626,110.858162,143.520913,183.823500,516.299433,485.103190,405.548410,338.507699,268.342365,244.422348,165.020068,181.049561,197.377989,223.690625,544.483104,486.682072,430.215471,353.233270,318.920272,266.989793,252.966835,235.006757,251.352005,280.010562,608.709294,533.244440,497.400743,432.194532,367.686131,354.747245,332.848469,313.821680,330.078980,350.472145,645.953376,564.085694,508.703782,497.264789,451.566781,435.726629,418.157599,415.086696,389.023460,414.626691,666.230036,634.019918,582.795189,526.893566,523.253215,479.053184,483.459226,484.925952,488.688021,495.899011,727.129759,660.956984,643.140193,614.809380,579.662107,549.944670,550.951784,555.059145,570.566287,581.626707,790.391201,712.424765,714.706808,673.515065,656.966422,654.686259,623.856079,609.717706,623.556869,666.996635
18,594.498725,518.243385,442.551165,393.366381,299.019234,224.511008,186.455982,96.535926,82.876347,140.195880,594.129068,507.411057,474.103589,355.791974,279.502736,223.721441,146.065232,77.835331,0.000000,60.248296,613.025409,507.195035,443.005494,381.631858,297.783226,213.483329,163.920822,81.985715,76.897348,106.039333,575.712862,542.601700,460.496245,388.433443,310.242691,274.032694,166.928174,147.780288,147.038950,152.631144,597.144464,534.544910,468.538808,388.812237,348.236237,278.599368,239.576346,205.918734,205.335798,215.104163,651.927287,569.070663,529.869890,460.981167,383.066666,360.993042,320.951984,286.734776,286.055417,292.622956,684.365936,598.045946,534.076977,513.268824,454.460044,431.362867,394.513235,377.054146,343.978568,357.614083,694.202091,655.911302,596.259661,536.333642,520.903921,470.769141,458.655647,451.217437,439.585164,439.721361,753.650087,677.808876,652.673366,614.676409,572.910528,538.279826,524.520792,520.034806,524.290509,530.860960,809.987081,724.147014,720.763878,673.201267,644.845896,637.267200,595.156192,573.556591,577.361108,614.850224
19,648.462650,571.764584,495.674794,444.473490,349.863089,272.015964,231.642363,133.106967,87.056739,91.644464,650.668537,563.897893,529.879744,411.826475,335.953536,278.082754,202.746656,126.943367,60.248296,0.000000,671.427999,565.624359,501.370667,441.392095,357.363060,273.141056,223.947780,133.423174,98.216944,75.398425,635.277685,602.419903,520.525582,448.670157,370.342805,332.988013,221.811297,188.558323,174.634598,150.165209,657.354611,594.762289,528.051280,448.132125,406.718545,333.544239,285.947358,245.169589,231.919309,218.885731,711.806790,628.065400,588.342785,518.903047,437.982177,413.099593,365.895359,323.929236,310.488398,302.459320,743.632072,656.671760,590.976749,567.568046,504.332558,478.274674,431.407910,403.999857,365.699235,366.514076,751.373263,711.520013,649.335686,588.224611,567.938772,515.361546,493.828929,480.211575,455.409438,447.928572,810.349935,731.772564,704.067105,662.138639,617.425270,580.473070,557.818941,547.109528,541.650546,543.707358,864.546532,776.139618,770.495436,720.289087,686.024120,675.405006,626.195315,599.163784,594.213199,625.391399
