node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
27,78,77.796737,UNREGISTERED,8,137.10437246656488
27,88,86.894004,CLUSTER_HEAD,8,156.58406141012964
27,37,60.363661,REGISTERED,3,402.1003630474042
27,39,57.866081,CLUSTER_HEAD,4,221.10139636133002
27,26,98.575993,REGISTERED,3,157.10043949704337
27,33,98.760250,CLUSTER_HEAD,4,125.68114330546449
27,24,68.248194,REGISTERED,3,136.10077694611223
27,43,37.963008,CLUSTER_HEAD,5,136.16912478196036
27,32,77.309711,ROUTER,5,135.68132678405757
27,15,80.475933,REGISTERED,3,167.10049742573423
27,23,80.896554,CLUSTER_HEAD,6,162.6823558406721
27,85,52.032478,REGISTERED,8,137.83852275239633
27,84,64.336233,UNREGISTERED,8,137.1040944328528
27,74,74.596483,CLUSTER_HEAD,8,156.10411495335288
27,66,63.564658,CLUSTER_HEAD,6,196.7990819400035
27,64,84.412897,REGISTERED,7,196.1020135190214
27,5,62.828254,UNREGISTERED,4,172.1010557824086
27,6,81.537919,CLUSTER_HEAD,4,191.10109320173933
27,14,97.105179,ROUTER,3,226.68263569874796
27,49,73.939771,CLUSTER_HEAD,4,235.10382419182426
27,76,93.776157,CLUSTER_HEAD,7,206.103745147921
27,54,88.750124,REGISTERED,7,208.6815898697812
27,73,87.932609,ROUTER,9,196.10436508730388
27,83,94.243218,ROUTER,9,196.44938341948793
27,53,41.838067,CLUSTER_HEAD,6,206.6814444435234
27,63,79.299424,ROUTER,7,205.6816098258467
27,45,67.011410,ROUTER,5,266.6805911256383
27,44,62.317574,CLUSTER_HEAD,6,266.6811623369651
27,4,74.472154,CLUSTER_HEAD,4,233.6831940295714
27,79,88.606681,REGISTERED,9,227.10342869950153
27,86,94.708821,UNREGISTERED,8,206.10380767778747
27,87,79.985118,REGISTERED,9,246.10325426222812
28,38,91.625181,CLUSTER_HEAD,2,1680.1005021766832
28,29,74.720355,ROUTER,3,1680.1008358120587
28,17,95.158096,ROOT,0,136.10008615809633
28,36,79.582057,REGISTERED,2,128.074356269745
28,47,72.249338,REGISTERED,3,150.10197379135514
28,57,70.288102,ROUTER,5,147.1017840433403
28,46,94.389755,CLUSTER_HEAD,4,137.1015519757288
28,56,77.132400,REGISTERED,5,136.10176886770276
28,67,93.340231,CLUSTER_HEAD,6,136.10279514110172
28,35,89.675899,ROUTER,3,127.10085623628565
28,55,95.604740,ROUTER,5,126.4258298182291
28,34,52.791319,ROUTER,3,116.68037486259881
28,65,65.072549,CLUSTER_HEAD,6,136.10270054586084
28,58,86.563998,ROUTER,7,146.10302105686276
28,77,96.333817,ROUTER,7,146.10306013613908
28,48,66.111597,ROUTER,3,211.07436275960143
