request_source,request_dest,first_request_time,last_intermediate_reply_time,direct_reply_time,delta,used_fallback_direct_as_intermediate,num_replies
"[98,1]","[0,254]",310.10107806346275,310.10204011053264,310.1020848783662,0.0010068149034623275,False,21
"[89,2]","[0,254]",312.1012526889527,312.1018289485913,312.10186580506473,0.0006131161120492834,False,8
"[98,1]","[0,254]",312.10107806346275,312.10204011053264,312.1020848783662,0.0010068149034623275,False,21
"[99,2]","[0,254]",312.1018875595361,312.1026778400978,312.1027341395321,0.0008465799959935794,False,13
"[89,3]","[0,254]",314.10111434421606,314.1016499643954,314.10171125249707,0.0005969082810111104,False,5
"[104,1]","[0,254]",314.10116535513566,314.1019236488427,314.1019501452956,0.0007847901599120632,False,11
"[104,3]","[0,254]",314.1012975604665,314.1020320484302,314.10207979296666,0.0007822325001711761,False,10
"[98,1]","[0,254]",314.10107806346275,314.1020576945544,314.10212163007503,0.0010435666122816656,False,17
"[104,2]","[0,254]",314.1014345658694,314.10212692249786,314.1022112627287,0.0007766968593045931,False,6
"[99,2]","[0,254]",314.1018875595361,314.10265915607675,314.1027341395321,0.0008465799959935794,False,7
"[105,1]","[0,254]",316.1016332445818,316.10271036829863,316.1027875117905,0.001154267208676174,False,9
"[104,1]","[0,254]",321.10218222747653,321.1028826774056,321.10296701763644,0.0007847901599120632,False,6
"[109,3]","[0,254]",322.1013359120302,322.10237371302924,322.10246108641246,0.0011251743822526805,False,8
"[111,1]","[0,254]",322.10147899097893,322.1025511361827,322.10261398767835,0.0011349966994202987,False,16
"[109,5]","[0,254]",322.101552772658,322.10260661247844,322.1026813646433,0.0011285919852639381,False,15
"[116,1]","[0,254]",324.1013446248253,324.10261549935785,324.1026389859806,0.0012943611553168921,False,20
"[117,1]","[0,254]",326.10128357943256,326.1026441649452,326.10272309755373,0.0014395181211739327,False,10
"[117,3]","[0,254]",326.10143413448816,326.10282877961646,326.1028576070453,0.0014234725571213858,False,17
"[110,2]","[0,254]",328.1012878511674,328.1022128267875,328.10226889933665,0.000981048169251153,False,7
"[116,2]","[0,254]",328.10160986007224,328.10284846011774,328.1029105318368,0.001300671764568051,False,17
"[118,1]","[0,254]",328.10152023296496,328.1030023914081,328.1030686157654,0.0015483828004221323,False,11
"[117,2]","[0,254]",330.101628465458,330.103046534876,330.10305490134937,0.0014264358913465003,False,19
"[118,2]","[0,254]",330.1015137467854,330.10302750494964,330.10308702712746,0.0015732803420860364,False,21
"[121,2]","[0,254]",334.1016728757887,334.10307697272225,334.103111295525,0.0014384197363028761,False,19
"[123,2]","[0,254]",336.10159351279657,336.10325945261025,336.1033215863189,0.0017280735223152988,False,23
"[126,2]","[0,254]",342.1015755797208,342.10338651489474,342.10347377021134,0.0018981904905217561,False,13
"[127,1]","[0,254]",348.10186053150164,348.10378848420265,348.1038713458543,0.0020108143526726963,False,14
