time,packet_type,source,current_node,next_hop,dest,hop_count,path_type
1086.100947432373,SENSOR_DATA,"[22,4]",38,"[0,1]","[0,254]",,TREE
1086.1009614824561,SENSOR_DATA,"[25,3]",34,"[2,254]","[0,254]",,TREE
1086.1009619469828,SENSOR_DATA,"[21,5]",14,"[2,254]","[0,254]",,TREE
1086.1009670414408,SENSOR_DATA,"[23,4]",16,"[0,254]","[0,254]",,DIRECT
1086.1009810267349,SENSOR_DATA,"[22,6]",38,"[0,1]","[0,254]",,TREE
1086.1009988377207,SENSOR_DATA,"[25,4]",34,"[2,254]","[0,254]",,TREE
1086.1009992324605,SENSOR_DATA,"[20,3]",27,"[0,254]","[0,254]",,DIRECT
1086.1010002579808,SENSOR_DATA,"[22,5]",38,"[0,1]","[0,254]",,TREE
1086.1010086622807,SENSOR_DATA,"[22,7]",38,"[0,1]","[0,254]",,TREE
1086.1010133827792,SENSOR_DATA,"[21,4]",25,"[0,2]","[0,254]",,TREE
1086.101020779184,SENSOR_DATA,"[24,2]",25,"[0,2]","[0,254]",,TREE
1086.1010233972295,SENSOR_DATA,"[24,3]",25,"[0,2]","[0,254]",,TREE
1086.1010239096813,SENSOR_DATA,"[22,4]",27,"[0,254]","[0,254]",,DIRECT
1086.101042115787,SENSOR_DATA,"[25,3]",25,"[0,2]","[0,254]",,TREE
1086.1010500521616,SENSOR_DATA,"[21,5]",25,"[0,2]","[0,254]",,TREE
1086.1010575040432,SENSOR_DATA,"[22,6]",27,"[0,254]","[0,254]",,DIRECT
1086.101076735289,SENSOR_DATA,"[22,5]",27,"[0,254]","[0,254]",,DIRECT
1086.10107724421,SENSOR_DATA,"[21,4]",16,"[0,254]","[0,254]",,DIRECT
1086.1010794710517,SENSOR_DATA,"[25,4]",25,"[0,2]","[0,254]",,TREE
1086.1010846406148,SENSOR_DATA,"[24,2]",16,"[0,254]","[0,254]",,DIRECT
1086.101085139589,SENSOR_DATA,"[22,7]",27,"[0,254]","[0,254]",,DIRECT
1086.1010872586603,SENSOR_DATA,"[24,3]",16,"[0,254]","[0,254]",,DIRECT
1086.101105977218,SENSOR_DATA,"[25,3]",16,"[0,254]","[0,254]",,DIRECT
1086.1011139135924,SENSOR_DATA,"[21,5]",16,"[0,254]","[0,254]",,DIRECT
1086.1011433324825,SENSOR_DATA,"[25,4]",16,"[0,254]","[0,254]",,DIRECT
1086.10120503601,SENSOR_DATA,"[27,1]",76,"[12,3]","[0,254]",,TREE
1086.1012710769148,SENSOR_DATA,"[27,1]",65,"[12,254]","[0,254]",,TREE
1086.1012993729269,SENSOR_DATA,"[28,2]",74,"[12,5]","[0,254]",,TREE
1086.1013231300606,SENSOR_DATA,"[27,1]",55,"[4,1]","[0,254]",,TREE
1086.1013700723265,SENSOR_DATA,"[28,2]",64,"[12,254]","[0,254]",,TREE
1086.1014097348007,SENSOR_DATA,"[27,1]",46,"[4,254]","[0,254]",,TREE
1086.1014454852232,SENSOR_DATA,"[28,2]",55,"[4,1]","[0,254]",,TREE
1086.1014809373528,SENSOR_DATA,"[27,1]",36,"[0,1]","[0,254]",,TREE
1086.1015320899633,SENSOR_DATA,"[28,2]",46,"[4,254]","[0,254]",,TREE
1086.1015515194101,SENSOR_DATA,"[27,1]",27,"[0,254]","[0,254]",,DIRECT
1086.1016032925154,SENSOR_DATA,"[28,2]",36,"[0,1]","[0,254]",,TREE
1086.1016738745727,SENSOR_DATA,"[28,2]",27,"[0,254]","[0,254]",,DIRECT
1096.1005752675828,SENSOR_DATA,"[28,3]",84,"[28,254]","[0,254]",,TREE
1096.1006285839724,SENSOR_DATA,"[28,3]",74,"[12,5]","[0,254]",,TREE
1096.1006310778155,SENSOR_DATA,"[27,2]",85,"[27,254]","[0,254]",,TREE
1096.1006571767882,SENSOR_DATA,"[28,4]",73,"[28,254]","[0,254]",,TREE
1096.1006936044912,SENSOR_DATA,"[28,5]",83,"[28,254]","[0,254]",,TREE
1096.100699283372,SENSOR_DATA,"[28,3]",64,"[12,254]","[0,254]",,TREE
1096.1007184511989,SENSOR_DATA,"[27,2]",76,"[12,3]","[0,254]",,TREE
1096.1007361093968,SENSOR_DATA,"[28,4]",74,"[12,5]","[0,254]",,TREE
1096.1007746962687,SENSOR_DATA,"[28,3]",55,"[4,1]","[0,254]",,TREE
1096.100778847709,SENSOR_DATA,"[28,5]",74,"[12,5]","[0,254]",,TREE
