source_id,target_id,distance
5,13,155.779353
5,14,74.424788
5,15,82.985471
5,16,138.782110
5,17,196.236603
5,18,263.347630
5,19,365.942526
5,20,364.574284
5,21,315.019404
5,22,236.329455
5,23,202.747434
5,24,163.649817
5,25,157.662588
5,26,210.073049
5,27,244.692139
5,28,295.825150
5,29,391.179611
5,30,414.211404
5,31,370.344232
5,32,297.639863
5,33,269.706836
5,34,252.915809
5,35,225.856157
5,36,275.289145
5,37,286.340688
5,38,371.535240
5,39,410.378963
5,40,462.862239
5,41,384.709339
5,42,385.537438
5,43,332.082009
5,44,321.974115
5,45,293.892513
5,46,324.313676
5,47,385.092842
5,48,418.922765
5,49,471.990605
5,50,490.034876
5,51,477.832812
5,52,414.774519
5,53,394.755415
5,54,366.927594
5,55,399.815744
5,56,390.096319
5,57,443.168021
5,58,499.427805
5,59,520.542866
5,60,529.605061
5,61,524.675553
5,62,472.421223
5,63,485.843764
5,64,452.027358
5,65,444.614701
5,66,484.786181
5,67,499.975743
5,68,529.751376
5,69,567.654661
5,70,607.269838
5,71,572.277137
5,72,581.747083
5,73,544.833724
5,74,531.361625
5,75,549.687861
5,76,566.218766
5,77,568.204376
5,78,623.432787
5,79,672.690191
5,80,700.364839
5,81,675.272703
5,82,618.427039
5,83,594.448434
5,84,624.010442
5,85,622.225552
5,86,629.380166
5,87,633.084671
5,88,688.226492
5,89,722.495828
5,90,764.496461
5,91,703.616862
5,92,709.279644
5,93,696.929181
5,94,669.494243
5,95,706.666933
5,96,699.083463
5,97,716.579181
5,98,764.068151
5,99,791.144907
6,7,92.061086
6,8,136.757822
6,9,225.261833
6,10,488.834392
6,11,371.150272
6,12,319.861774
6,13,258.200016
6,14,163.132695
6,15,116.418136
6,16,83.470070
6,17,111.996143
6,18,163.789723
6,19,263.383435
6,20,466.993171
6,21,412.537559
6,22,324.989517
6,23,280.076394
6,24,209.754466
6,25,178.195143
6,26,163.409595
6,27,173.358657
6,28,212.437767
6,29,294.348775
6,30,506.003198
6,31,457.966418
6,32,378.951832
6,33,323.800338
6,34,282.069370
6,35,232.307529
6,36,258.002074
6,37,235.964032
6,38,293.424165
6,39,325.992014
6,40,551.386648
6,41,458.924987
6,42,450.663202
6,43,384.726785
6,44,348.988796
6,45,303.931756
6,46,302.563924
6,47,335.503169
6,48,361.563002
6,49,396.291626
6,50,563.535675
6,51,543.881544
6,52,472.607947
6,53,436.413484
6,54,390.189209
6,55,404.535313
6,56,366.174436
6,57,398.459862
6,58,447.057033
6,59,456.819396
6,60,598.999958
6,61,579.936880
6,62,517.200188
6,63,516.435908
6,64,466.641468
6,65,437.955096
6,66,462.004326
6,67,466.617702
6,68,482.968488
6,69,505.972526
6,70,666.899873
6,71,623.797617
6,72,623.892748
6,73,572.691061
6,74,546.789393
6,75,551.866896
